,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4,
LRRC55,0.805903,0.0836038,0.161168,0.486217,0.155444,0.799744,0.0431566,1.1115,0.0204838,0.222223,0.325793,0.100732,
LY6D,0,0.694213,0.108041,0.200761,0,1.23315,0,0.72648,0,0.571846,0,0,
LYPD8,0,0,0,0,0,0,0,0,0,0,0.400586,0,
MADCAM1,0,0,0.0938372,0.119349,0.731248,0.0754912,0,0.309428,0.0617421,0.0558274,0,0.197597,
MAF,5.1195,2.61374,3.75371,2.6418,5.89057,10.6317,10.3356,0.950966,1.08504,1.85222,2.94955,2.57507,
MAFA,0,0,0,0,0.109086,0.0328198,0,0.0918406,0.05633,0.150601,0.0826412,0.0384602,
MAFB,7.51192,5.58767,7.78397,2.23377,11.7744,36.0052,45.4909,9.54825,4.17885,20.6137,10.9753,20.5013,
MAFIP,0,0,0,0,0,0,0,0,0,0,0,0,
MAGEA1,0,0,0,0,0.0778996,0,0,0,0,0.0652061,0,0,
MAGEA4,0,0,0,0,0,0,0,0,0,0.0953514,0.235152,0,
MAGEB10,0,0.0187327,0,0,0,0,0,0,0,0.0193826,0.0381811,0.0989692,
MAGEB2,0,0,0,0,0,0.0525586,0,0,0,0.0778826,0.0248271,0.107624,
MAGEB6,0,0,0,0,0,0,0,0,0,0,0,0.0276402,
MAGEC2,0,0,0,0,0,0,0,0,0.0247455,0.0762591,0,0.0891186,
MAGEH1,16.2877,15.2023,6.7401,10.4805,25.3971,14.7083,19.6301,7.44014,1.80236,4.35069,5.60284,2.10889,
MAGEL2,0.289545,0.507882,0.357735,0.04425,0.15707,0.77575,0.265363,0.0398321,0.0375148,0.157523,0.17277,0.22239,
MARCKSL1,118.848,147.355,195.303,231.101,31.6625,108.041,95.8163,88.3353,21.278,156.843,139.958,12.116,
MB,1.01559,0.835634,0.140738,0,0,2.73742,0.955706,1.47577,1.34629,0.0621183,1.0921,0.193978,
MBL2,0,0.00595085,0,0,0,0,0.0124245,0.0347244,0.00813249,0.114955,0.0600974,0.0231807,
MC3R,0,0,0,0,0,0,0,0,0,0.140378,0.125552,0.0937457,
MCHR1,0.112026,0.0963949,0.081859,0.0244338,0,2.58004,0.470687,0,0.065771,0.140245,0.0615992,0.359742,
MESP1,0.403308,0.208611,0.530212,0.0994826,0.212348,1.29274,0.160759,0.913958,0,0.441395,0.227576,0,
MEX3D,5.09996,14.4245,5.43282,10.5139,4.10983,10.2904,9.56021,7.20547,1.50721,4.99615,3.29691,2.56726,
MGC16025,0.0571074,0.0405974,0.0872759,0,0,0.0213648,0,0.159758,0,0.0604143,0.119944,0,
MGC39584,0,0,0,0,0,0,0,0,0,0,0,0,
MGC70870,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR100,0,0,0,0,0,0,0,0,0,0,0,0,
MIR101-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR101-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR103B1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR103B2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR105-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR105-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR106A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR106B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR107,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1179,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1180,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1185-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1185-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1193,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1197,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1200,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1203,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1205,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1206,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1207,0,0,0,0,0,0,0,0,0,1355.04,0,0,
MIR1208,0,0,0,0,0,0,0,0,0,0,0,0,
MIR122,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1227,0,0,0,0,0,0,0,0,0,415.614,0,0,
MIR1229,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1233-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1233-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1234,0,0,0,0,0,0,0,0,0,0,0,0,
MIR124-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR124-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR124-3,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1243,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1245B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1246,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1249,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1250,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1251,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1252,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1253,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1257,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1258,0,0,0,0,0,0,0,0,0,0,0,0,
MIR125A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR125B1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR125B2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1260A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1260B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1262,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1264,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1265,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1266,0,0,0,0,0,0,0,0,0,0,0,0,
MIR127,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1272,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1275,0,0,0,0,0,0,0,0,0,0,0,517.524,
MIR1276,0,0,0,0,0,0,0,0,0,616.444,0,0,
MIR1277,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1278,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1279,0,0,0,0,0,0,0,0,0,0,0,0,
MIR128-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR128-2,0,0,0,0,0,0,0,0,0,452.672,0,0,
MIR1283-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1283-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1284,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1286,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1288,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1289-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR129-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR129-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1295A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1295B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1297,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1298,0,0,0,0,0,0,0,0,0,142.935,0,0,
MIR1301,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1305,0,0,0,0,0,0,0,0,0,0,0,0,
MIR130B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR132,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1322,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1323,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1324,0,0,0,0,0,0,0,0,0,0,0,0,
MIR133A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR133B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR134,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1343,0,0,0,0,0,0,0,0,0,0,0,0,
MIR135A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR135B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR136,0,0,0,0,0,0,0,0,0,0,0,0,
MIR138-1,0,0,0,0,0,0,0,0,0,273.015,0,0,
MIR138-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR139,0,0,0,0,0,0,0,0,0,0,0,0,
MIR140,0,0,0,0,0,0,0,0,0,0,0,0,
MIR141,0,0,0,0,0,0,0,0,0,0,0,0,
MIR144,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1468,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1469,0,0,0,0,0,0,0,0,0,0,0,0,
MIR146A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR146B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1470,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1471,0,0,0,0,0,0,0,0,0,0,0,0,
MIR147A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR148A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR148B,0,0,0,0,0,0,0,0,0,215.757,0,0,
MIR149,0,0,0,0,0,0,0,0,0,0,0,0,
MIR150,0,0,0,0,0,0,0,0,0,0,0,0,
MIR152,0,0,0,0,0,0,0,0,0,0,0,0,
MIR153-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR153-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1537,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1538,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1539,0,0,0,0,0,0,0,0,0,0,0,0,
MIR154,0,0,0,0,0,0,0,0,0,0,0,0,
MIR15B,0,0,0,0,0,0,0,0,543.439,0,0,0,
MIR16-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR181A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR181A2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR181B1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR181B2,0,959.4,0,0,0,0,0,0,0,0,0,0,
MIR181C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR181D,0,0,0,0,0,0,0,0,0,0,0,0,
MIR182,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1827,0,0,0,0,0,0,0,0,0,0,0,0,
MIR183,0,0,0,0,0,0,0,0,0,0,0,0,
MIR184,0,0,0,0,0,0,0,0,0,0,0,0,
MIR185,0,0,0,0,0,0,0,0,0,0,0,0,
MIR187,0,0,0,0,0,0,0,0,0,0,0,0,
MIR188,0,0,0,0,0,0,0,0,0,0,0,0,
MIR18B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1908,0,0,0,0,0,0,0,0,0,0,0,0,
MIR190A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR190B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR191,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1910,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1911,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1912,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1913,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1915,0,0,0,0,0,0,0,0,0,0,0,0,
MIR192,0,0,0,0,0,0,0,0,0,0,0,0,
MIR193A,0,0,0,0,0,0,0,0,0,0,0,353.268,
MIR193B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR194-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR194-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR196A1,0,0,0,0,0,0,0,0,0,0,0,743.304,
MIR196A2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR196B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR197,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1972-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR1973,0,0,0,0,0,0,0,0,0,0,0,0,
MIR199A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR199B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR19B2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR200A,0,0,0,0,0,0,0,342.427,0,0,0,0,
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR200C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR203,0,0,0,0,0,0,0,0,0,0,0,0,
MIR204,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2052,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2053,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2054,0,0,0,0,0,0,0,0,0,0,0,0,
MIR206,0,0,0,0,0,0,0,0,0,0,0,0,
MIR208A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR208B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR20B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR211,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2113,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2114,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2116,0,0,0,0,0,0,0,0,0,0,0,0,
MIR212,0,0,0,0,0,0,0,0,0,0,0,0,
MIR215,0,0,0,0,0,0,0,0,0,0,0,0,
MIR216A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR216B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR217,0,0,0,0,0,0,0,0,0,0,0,0,
MIR218-1,0,0,134.261,0,0,0,0,0,0,0,0,0,
MIR218-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR219-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR221,0,0,0,0,0,0,0,0,0,0,0,0,
MIR222,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2276,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2278,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2355,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2392,0,0,0,0,0,0,0,0,0,0,0,0,
MIR23C,0,0,0,0,0,0,0,0,0,255.713,0,0,
MIR2467,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2681,0,0,191.909,0,0,0,0,0,0,0,0,0,
MIR2682,0,0,0,0,0,0,0,0,0,0,0,0,
MIR26A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR26B,0,0,0,0,0,0,0,0,1575.4,0,0,0,
MIR2909,0,0,0,0,0,0,0,0,0,0,0,0,
MIR296,0,0,0,0,0,0,0,0,0,0,0,0,
MIR2964A,0,386.781,0,0,0,0,0,0,0,0,0,0,
MIR298,0,0,0,0,0,0,0,0,0,0,0,0,
MIR299,0,0,0,0,0,0,0,0,0,0,0,0,
MIR29B1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR29B2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR29C,625.156,0,391.883,0,0,0,0,0,0,0,0,0,
MIR300,0,0,0,0,0,0,0,0,0,0,0,0,
MIR301A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR301B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR302B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR302C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR302F,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3065,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3074,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30C1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30C2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30D,0,0,0,0,0,0,0,0,0,0,0,0,
MIR30E,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3115,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3119-1,0,0,0,0,0,0,0,0,0,397.577,0,0,
MIR3121,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3122,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3123,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3124,0,0,0,0,0,0,0,0,1721.92,0,0,0,
MIR3125,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3126,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3127,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3128,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3130-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3131,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3132,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3136,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3138,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3140,0,0,0,0,0,0,0,0,0,0,0,234.813,
MIR3141,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3142,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3145,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3146,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3147,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3148,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3150A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3150B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3151,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3152,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3154,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3155B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3156-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3156-3,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3157,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3158-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3160-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3160-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3162,0,0,0,0,0,864.101,0,0,0,0,0,0,
MIR3165,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3167,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3169,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3173,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3175,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3176,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3177,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3179-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3180-4,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3180-5,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3182,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3183,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3184,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3185,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3186,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3187,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3188,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3190,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3191,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3193,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3194,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3196,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3197,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3198-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3199-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3199-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3200,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3201,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3202-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR320A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR320B1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR320C1,0,0,0,0,0,0,521.331,0,0,0,0,0,
MIR320C2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR320D2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR323A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR323B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR326,0,0,0,0,0,0,0,0,0,0,0,0,
MIR328,0,0,0,0,0,0,0,0,0,0,0,0,
MIR329-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR329-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR330,0,0,0,0,0,0,0,0,0,0,0,0,
MIR335,0,0,0,0,0,0,0,0,0,0,0,0,
MIR337,0,0,0,0,0,0,0,0,0,0,0,0,
MIR338,0,0,0,0,0,0,0,0,0,0,0,0,
MIR339,0,0,0,0,0,0,0,0,0,0,0,0,
MIR33A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR33B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR340,0,0,0,0,0,0,0,0,0,0,0,0,
MIR345,0,0,0,0,0,0,0,0,0,0,0,0,
MIR346,0,0,0,0,0,0,0,0,0,0,0,0,
MIR34A,0,0,0,0,0,0,0,0,0,146.565,0,0,
MIR3529,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3545,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3591,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3612,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3616,0,0,0,0,0,0,0,0,0,0,479.217,0,
MIR3619,0,0,0,0,0,0,0,0,0,0,0,0,
MIR362,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3621,0,0,0,0,0,0,0,0,0,0,0,0,
MIR363,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3646,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3648,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3649,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3650,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3659,0,0,0,0,0,0,0,0,0,0,0,0,
MIR365A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR365B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3660,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3661,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3663,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3664,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3665,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3666,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3668,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3671,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3676,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3678,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3679,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3682,0,1272.54,1101.44,0,0,0,0,441.87,0,615.733,2255.98,0,
MIR3684,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3687,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3688-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3688-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3689B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3689C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3689D1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3689D2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3689F,0,0,0,0,0,0,0,0,0,0,0,0,
MIR369,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3691,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3692,0,0,0,0,0,0,0,0,0,0,0,0,
MIR371A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR371B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR372,0,0,0,0,0,0,0,0,0,0,0,0,
MIR373,0,0,0,0,0,0,0,0,0,0,0,0,
MIR374A,0,0,0,0,0,0,0,0,0,0,0,0,
MIR374C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR375,0,0,0,0,0,0,0,0,0,0,0,0,
MIR376A1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR376A2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR376B,0,0,0,0,0,0,0,0,0,0,0,0,
MIR376C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR377,0,0,0,0,0,0,0,0,0,0,0,0,
MIR378C,0,0,0,0,0,0,0,0,0,0,0,0,
MIR378D1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR378D2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR378E,0,0,0,0,0,0,0,0,0,0,0,0,
MIR378F,0,0,0,0,0,0,0,0,0,0,0,0,
MIR379,0,0,0,0,0,0,0,0,0,0,0,0,
MIR380,0,0,0,0,0,0,0,0,0,0,0,0,
MIR381,0,0,0,0,0,0,0,0,0,0,0,0,
MIR382,0,0,0,0,0,0,0,0,0,0,0,0,
MIR383,0,0,0,0,0,0,0,0,0,0,0,0,
MIR384,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3907,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3908,0,0,0,0,0,0,0,0,0,0,0,165.604,
MIR3909,0,0,0,0,0,0,0,0,0,0,161.273,0,
MIR3910-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3910-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3911,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3912,0,0,0,0,0,0,0,0,0,141.308,0,0,
MIR3913-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3913-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3914-1,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3914-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3918,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3919,0,0,0,0,0,0,0,0,0,376.239,0,0,
MIR3920,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3921,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3922,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3924,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3925,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3926-2,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3928,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3935,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3938,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3939,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3943,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3944,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3945,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3973,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3974,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3975,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3976,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3977,0,0,0,0,0,0,0,0,0,0,0,0,
MIR3978,0,0,0,0,0,0,0,0,0,0,0,0,
MIR409,0,0,0,0,0,0,0,0,0,0,0,0,
MIR410,0,0,0,0,0,0,0,0,0,0,0,0,
MIR411,0,0,0,0,0,0,0,0,0,0,0,0,
MIR412,0,0,0,0,0,0,0,0,0,0,0,0,
MIR423,0,0,0,0,0,943.693,0,0,237.528,248.718,0,0,
MIR425,0,0,0,0,0,0,0,0,0,0,0,0,
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0,
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,
MIR4253,0,0,0,0,0,0,0,0,0,0,0,0,
MIR4254,0,0,0,0,0,0,0,0,0,0,0,0,
MIR4255,0,0,0,0,0,0,0,0,0,0,0,0,
